filename,width,height,sign_class
2020_0410_162215_007 0165_0.jpg,165,135,A-29
2019_0719_142601_003 0295_mirrored_0.jpg,97,140,A-6c
2019_1129_162626_042 0237_0.jpg,100,94,D-3
2019_0901_173251_015 0404_0.jpg,39,41,B-34
2019_1223_114427_004 0866_0.jpg,92,102,B-33
2020_0620_165601_008 125_0.jpg,98,94,B-5
2019_0814_162326_004 0297_0.jpg,51,45,A-30
2019_0905_182313_001 1106_0.jpg,75,66,A-16
2019_0920_161014_042 0587_0.jpg,45,63,A-32
2020_0410_162215_007 1814_0.jpg,88,96,D-15
2020_0321_094429_005 1684_0.jpg,51,55,B-33
2020_0301_150739_024 1488_0.jpg,88,90,D-6
2019_0818_134512_010 235_0.jpg,39,53,B-1
2019_0901_165821_014 1951_0.jpg,45,49,C-9
2020_0313_172757_002 1855_mirrored_0.jpg,78,84,C-10
2020_0410_165628_008 231_0.jpg,39,49,D-15
2020_0413_162855_009 0139_0.jpg,47,57,D-15
2020_0410_162215_007 1021_0.jpg,67,57,B-25
2019_0818_131042_009 0881_0.jpg,82,106,C-9
2020_0508_164957_013 480_0.jpg,61,74,C-9
2020_0413_162855_009 0398_0.jpg,184,206,C-5
2020_0229_084843_018 0467_0.jpg,91,90,D-3
2020_0413_162855_009 1819_0.jpg,88,90,B-33
2020_0510_185408_014 2056_0.jpg,51,55,B-21
2020_0510_185408_014 0038_0.jpg,126,125,A-7
2019_0905_182313_001 1719_0.jpg,94,78,B-25
2020_0213_161248_008 0410_mirrored_0.jpg,88,91,A-6c
2019_0905_182313_001 1545_0.jpg,76,78,B-33
2020_0229_092307_019 021_0.jpg,77,88,D-23a
2020_0313_180335_003 0157_0.jpg,65,64,D-6
2019_0920_164444_043 0966_mirrored_0.jpg,86,109,C-10
2019_0927_161359_043 0555_0.jpg,61,66,C-9
2019_0905_182313_001 0355_0.jpg,141,198,B-33
2020_0413_162855_009 0248_mirrored_0.jpg,24,24,C-4
2020_0410_162215_007 0527_0.jpg,59,47,A-32
2019_0814_162326_004 1814_0.jpg,174,161,A-16
2020_0620_165601_008 064_0.jpg,53,69,D-6
2020_0510_192839_015 481_0.jpg,42,43,C-9
2019_0905_182313_001 0123_0.jpg,123,100,A-18b
2019_1223_110958_003 0582_0.jpg,67,63,A-8
2019_0905_182313_001 0962_0.jpg,47,45,B-36
2020_0301_154208_025 0251_0.jpg,68,81,C-9
2020_0229_084843_018 0806_0.jpg,65,51,A-7
2020_0313_180335_003 0614_0.jpg,41,42,A-6a
2020_0621_105312_020 12_0.jpg,94,94,B-20
2019_1129_162626_042 0220_0.jpg,94,98,D-6b
2019_0920_161014_042 0997_0.jpg,54,66,D-9
2020_0620_165601_008 158_0.jpg,102,89,A-7
2020_0410_165628_008 453_0.jpg,41,39,C-5
2019_0929_143436_042 1685_mirrored_0.jpg,67,58,C-10
2020_0508_164957_013 650_0.jpg,57,55,D-6
2019_0905_182313_001 0945_mirrored_0.jpg,105,98,A-6b
2019_1223_114427_004 0365_0.jpg,84,51,D-42
2019_0814_154857_003 2050_0.jpg,42,41,A-6d
2019_1230_164602_006 506_0.jpg,35,38,B-36
2020_0510_185408_014 0613_0.jpg,37,39,B-42
2020_0301_140337_021 276_0.jpg,111,131,D-2
2019_0920_161014_042 1810_0.jpg,47,49,A-30
2019_0929_150907_043 0807_mirrored_0.jpg,68,73,A-6e
2020_0213_153817_007 1581_0.jpg,79,104,D-28
2020_0213_161248_008 0776_0.jpg,26,28,B-33
2019_0905_182313_001 1370_0.jpg,86,72,A-30
2020_0410_162215_007 0640_0.jpg,37,42,D-8
2020_0321_094429_005 0363_0.jpg,43,46,D-26c
2019_1223_114427_004 0237_0.jpg,127,165,B-33
2019_0905_182313_001 1023_0.jpg,35,28,C-9
2020_0229_074421_016 0280_0.jpg,70,75,B-27
2019_0905_182313_001 0591_0.jpg,116,100,A-1
2019_1129_162626_042 1590_0.jpg,61,63,C-9
2020_0321_094429_005 0383_mirrored_0.jpg,79,82,A-6c
2019_0929_143436_042 1490_0.jpg,77,88,C-9
